row,sen_number,participant
49,2024SIR0010361,South Texas ICE Processing Center (STIPC)
50,2024SIR0010382,ERO Atlanta
50,2024SIR0010382,ICE Health Service Corps (IHSC)
50,2024SIR0010382,Stewart Detention Center (SDC)
50,2024SIR0010382,Piedmont Columbus Regional Hospital (PCRH)
50,2024SIR0010382,Stewart County Sheriff's Office (SCSO)
51,2024SIR0010367,ERO Buffalo
51,2024SIR0010367,Buffalo Federal Detention Facility (BFDF)
51,2024SIR0010367,ICE Health Service Corps (IHSC)
52,2024SIR0010381,ERO Houston
52,2024SIR0010381,ICE Health Service Corps (IHSC)
52,2024SIR0010381,IAH Secure Adult Detention Center (IAH)
53,2024SIR0010373,ERO Philadelphia
53,2024SIR0010373,Moshannon Valley Processing Center (MVPC)
54,2024SIR0010432,ERO Boston
54,2024SIR0010432,Strafford County Department of Corrections (SCDOC)
55,2024SIR0010403,ERO Miami
55,2024SIR0010403,Krome Service Processing Center (KSPC)
55,2024SIR0010403,ICE Health Service Corps (IHSC)
56,2024SIR0010454,ERO San Antonio
56,2024SIR0010454,South Texas ICE Processing Center (STIPC)
57,2024SIR0006425,ERO Miami
57,2024SIR0006425,Krome Service Processing Center (KSPC)
57,2024SIR0006425,ICE Health Service Corps (IHSC)
58,2024SIR0006413,ERO Philadelphia
58,2024SIR0006413,ICE Health Service Corps (IHSC)
58,2024SIR0006413,Moshannon Valley Processing Center (MVPC)
58,2024SIR0006413,Pennsylvania State Police (PSP)
59,2024SIR0006487,ERO Philadelphia
59,2024SIR0006487,Moshannon Valley Processing Center (MVPC)
60,2024SIR0006450,ERO Philadelphia
60,2024SIR0006450,Moshannon Valley Processing Center (MVPC)
61,2024SIR0006508,ERO El Paso
61,2024SIR0006508,ICE Health Service Corps (IHSC)
61,2024SIR0006508,El Paso Processing Center (EPC)
62,2024SIR0006526,ERO El Paso
62,2024SIR0006526,El Paso Processing Center (EPC)
62,2024SIR0006526,ICE Health Service Corps (IHSC)
63,2024SIR0006563,ERO El Paso
63,2024SIR0006563,ICE Health Service Corps (IHSC)
63,2024SIR0006563,El Paso Processing Center (EPC)
64,2024SIR0006543 / 2024SIR0006549,ERO San Antonio
64,2024SIR0006543 / 2024SIR0006549,South Texas ICE Processing Center (STIPC)
64,2024SIR0006543 / 2024SIR0006549,ICE Health Service Corps (IHSC)
64,2024SIR0006543 / 2024SIR0006549,Frio Regional Hospital (FRH)
65,2024SIR0006605,ERO Houston
65,2024SIR0006605,Joe Corley Processing Center (JCPC)
66,2024SIR0006741,ERO New Orleans
66,2024SIR0006741,Jackson Parish Correctional Center (JPCC)
67,2024SIR0006757,ERO New Orleans
67,2024SIR0006757,Jackson Parish Correctional Center (JPCC)
68,2024SIR0006837,ERO Miami
68,2024SIR0006837,Baker County Sheriff's Office (BCSO)
68,2024SIR0006837,Baker County Detention Center (BCDC)
69,2024SIR0006827,ERO Philadelphia
69,2024SIR0006827,Moshannon Valley Processing Center (MVPC)
