row,sen_number,participant
212,2024SIR0009067,ERO Miami
212,2024SIR0009067,ICE Health Service Corps (IHSC)
212,2024SIR0009067,Krome Service Processing Center (KSPC)
213,2024SIR0009116,ERO Chicago
213,2024SIR0009116,ICE Health Service Corps (IHSC)
213,2024SIR0009116,Kay County Detention Center (KCDC)
214,2024SIR0009085,ERO Miami
214,2024SIR0009085,ICE Health Service Corps (IHSC)
214,2024SIR0009085,Krome Service Processing Center (KSPC)
215,2024SIR0009132,ERO San Antonio
215,2024SIR0009132,South Texas ICE Processing Center (STIPC)
215,2024SIR0009132,ICE Health Service Corps (IHSC)
216,2024SIR0009204/2024SIR0009220,ERO San Antonio
216,2024SIR0009204/2024SIR0009220,South Texas ICE Processing Center (STIPC)
216,2024SIR0009204/2024SIR0009220,ICE Health Service Corps (IHSC)
217,2024SIR0010608,ERO San Antonio
217,2024SIR0010608,T. Don Hutto Detention Center (TDHDC)
217,2024SIR0010608,ICE Health Service Corps (IHSC)
218,2024SIR0010694,ERO San Antonio
218,2024SIR0010694,South Texas ICE Processing Center (STIPC)
218,2024SIR0010694,ICE Health Service Corps (IHSC)
219,2024SIR0010684,ERO Washington D.C.
219,2024SIR0010684,Immigration Centers of America (ICA)
220,2024SIR0010733,ERO Atlanta
220,2024SIR0010733,Stewart Detention Center (SDC)
221,2024SIR0010780,ERO Miami
221,2024SIR0010780,Krome Service Processing Center (KSPC)
222,2024SIR0010769,ERO Miami
222,2024SIR0010769,ICE Health Service Corps (IHSC)
222,2024SIR0010769,Krome Service Processing Center (KSPC)
223,2024SIR0010758,ERO Miami
223,2024SIR0010758,Krome Service Processing Center (KSPC)
223,2024SIR0010758,ICE Health Service Corps (IHSC)
224,2024SIR0010785,ERO Miami
224,2024SIR0010785,ICE Health Service Corps (IHSC)
224,2024SIR0010785,Krome Service Processing Center (KSPC)
225,2024SIR0010845,ERO Miami
225,2024SIR0010845,ICE Health Service Corps (IHSC)
225,2024SIR0010845,Krome Service Processing Center (KSPC)
226,2024SIR0010900,ERO Philadelphia
226,2024SIR0010900,Moshannon Valley Processing Center (MVPC)
227,2024SIR0010914,ERO San Diego
227,2024SIR0010914,Otay Mesa Detention Center (OMDC)
228,2024SIR0010921,ERO Miami
228,2024SIR0010921,ICE Health Service Corps (IHSC)
228,2024SIR0010921,Krome Service Processing Center (KSPC)
228,2024SIR0010921,Dade Fire Rescue (MDFR)
228,2024SIR0010921,Florida Kendall Hospital (HCA-FKH)
229,2024SIR0010961,ERO San Antonio
229,2024SIR0010961,South Texas ICE Processing Center (STIPC)
229,2024SIR0010961,ICE Health Service Corps (IHSC)
230,2024SIR0011038,ERO Atlanta
230,2024SIR0011038,Stewart Detention Center (SDC)
231,2024SIR0010994,ERO Miami
231,2024SIR0010994,Krome Service Processing Center (KSPC)
231,2024SIR0010994,ICE Health Service Corps (IHSC)
232,2024SIR0011067,ERO Miami
232,2024SIR0011067,ICE Health Service Corps (IHSC)
232,2024SIR0011067,Krome Service Processing Center (KSPC)
233,2024SIR0011140,ERO Atlanta
233,2024SIR0011140,Stewart Detention Center (SDC)
234,2024SIR0011193,ERO Harlingen
234,2024SIR0011193,El Valle Detention Facility (EVDF)
235,2024SIR0011142,ERO Philadelphia
235,2024SIR0011142,Moshannon Valley Processing Center (MVPC)
236,2024SIR0011221,ERO Miami
236,2024SIR0011221,Baker County Detention Center (BCDC)
237,2024SIR0011232,ERO Miami
237,2024SIR0011232,ICE Health Service Corps (IHSC)
237,2024SIR0011232,Krome Service Processing Center (KSPC)
238,2024SIR0011196,ERO San Francisco
238,2024SIR0011196,Mesa Verde ICE Processing Center (MVIPC)
238,2024SIR0011196,ICE Health Service Corps (IHSC)
239,2024SIR0011308,ERO Harlingen
239,2024SIR0011308,Port Isabel Detention Center (PIDC)
240,2024SIR0011273,ERO Houston
240,2024SIR0011273,ICE Health Service Corps (IHSC)
240,2024SIR0011273,Montgomery Processing Center (MPC)
241,2024SIR0011390,ERO Harlingen
241,2024SIR0011390,El Valle Detention Facility (EVDF)
242,2024SIR0011407,ERO Philadelphia
242,2024SIR0011407,Moshannon Valley Processing Center (MVPC)
243,2024SIR0011460,ERO El Paso
243,2024SIR0011460,El Paso Processing Center (EPC)
243,2024SIR0011460,ICE Health Service Corps (IHSC)
244,2024SIR0011492,ERO Harlingen
244,2024SIR0011492,Port Isabel Detention Center (PIDC)
245,2024SIR0011516,ERO Seattle
245,2024SIR0011516,ICE Health Service Corps (IHSC)
245,2024SIR0011516,Northwest ICE Processing Center (NWPIC)
246,2024SIR0011635,ERO Houston
246,2024SIR0011635,IAH Secure Adult Detention Center (IAH)
247,2024SIR0011672,ERO Miami
247,2024SIR0011672,ICE Health Service Corps (IHSC)
247,2024SIR0011672,Krome Service Processing Center (KSPC)
248,2024SIR0011660,ERO San Antonio
248,2024SIR0011660,ICE Health Service Corps (IHSC)
248,2024SIR0011660,T. Don Hutto Detention Center (TDHDC)
249,2024SIR0011742,ERO Boston
249,2024SIR0011742,ERO Miami
249,2024SIR0011742,ICE Health Service Corps (IHSC)
249,2024SIR0011742,Krome Service Processing Center (KSPC)
250,2024SIR0011762,ERO Denver
250,2024SIR0011762,El Paso Behavioral Health System (EPBHS)
251,2024SIR0011784,ERO Houston
251,2024SIR0011784,ICE Health Service Corps (IHSC)
251,2024SIR0011784,Montgomery Processing Center (MPC)
252,2024SIR0011817,ERO Washington D.C.
252,2024SIR0011817,Immigration Centers of America (ICA)
253,2024SIR0013216,ERO San Diego
253,2024SIR0013216,Otay Mesa Detention Center (OMDC)
254,2024SIR0013341,ERO Detroit
254,2024SIR0013341,Calhoun County Jail (CCJ)
255,2024SIR0013306,ERO Miami
255,2024SIR0013306,Baker County Detention Center (BCDC)
256,2024SIR0013333,ERO New Orleans
256,2024SIR0013333,Winn Correctional Center (WCC)
257,2024SIR0013337,ERO San Antonio
257,2024SIR0013337,South Texas ICE Processing Center (STIPC)
257,2024SIR0013337,ICE Health Service Corps (IHSC)
258,2024SIR0013233,ERO San Antonio
258,2024SIR0013233,South Texas ICE Processing Center (STIPC)
258,2024SIR0013233,ICE Health Service Corps (IHSC)
258,2024SIR0013233,ICE Office of Professional Responsibility (OPR)
259,2024SIR0013281,ERO San Antonio
259,2024SIR0013281,T. Don Hutto Detention Center (TDHDC)
259,2024SIR0013281,ICE Health Service Corps (IHSC)
260,2024SIR0013369,ERO Phoenix
260,2024SIR0013369,Central Arizona Florence Correctional Complex (CAFCC)
261,2024SIR0013439,ERO Atlanta
261,2024SIR0013439,Folkston ICE Processing Center (FDRIPC)
261,2024SIR0013439,Southeast Georgia Health System- Camden Campus (SGCSCC)
262,2024SIR0013431,ERO San Antonio
262,2024SIR0013431,ICE Health Service Corps (IHSC)
262,2024SIR0013431,South Texas ICE Processing Center (STIPC)
263,2024SIR0013479,ERO San Francisco
263,2024SIR0013479,Mesa Verde ICE Processing Center (MVIPC)
263,2024SIR0013479,ICE Health Service Corps (IHSC)
264,2024SIR0013504,ERO Atlanta
264,2024SIR0013504,Folkston ICE Processing Center (FDRIPC)
265,2024SIR0013530,ERO Miami
265,2024SIR0013530,ICE Health Service Corps (IHSC)
265,2024SIR0013530,Krome Service Processing Center (KSPC)
266,2024SIR0013495,ERO New Orleans
266,2024SIR0013495,Pine Prairie ICE Processing Center (PPC)
267,2024SIR0013511,ERO New York
267,2024SIR0013511,ICE Office of the Principal Legal Advisor (OPLA)
267,2024SIR0013511,ICE Health Service Corps (IHSC)
267,2024SIR0013511,Orange County Jail (OCJ)
268,2024SIR0013467,ERO Washington D.C.
268,2024SIR0013467,Caroline Detention Facility (CDF)
269,2024SIR0013573,ERO Miami
269,2024SIR0013573,Krome Service Processing Center (KSPC)
269,2024SIR0013573,ICE Health Service Corps (IHSC)
270,2024SIR0013603,ERO Miami
270,2024SIR0013603,Krome Service Processing Center (KSPC)
270,2024SIR0013603,ICE Health Service Corps (IHSC)
271,2024SIR0013571,ERO New Orleans
271,2024SIR0013571,Winn Correctional Center (WCC)
272,2024SIR0013603,ERO Phoenix
272,2024SIR0013603,Eloy Detention Center (EDC)
272,2024SIR0013603,Eloy Police Department (EPD)
272,2024SIR0013603,ICE Health Service Corps (IHSC)
273,2024SIR0013760,ERO Harlingen
273,2024SIR0013760,ERO Laredo
273,2024SIR0013760,Laredo Processing Center (LPC)
274,2024SIR0013824,ERO Miami
274,2024SIR0013824,Krome Service Processing Center (KSPC)
274,2024SIR0013824,ICE Health Service Corps (IHSC)
275,2024SIR0013791,ERO Seattle
275,2024SIR0013791,ICE Health Service Corps (IHSC)
275,2024SIR0013791,Northwest ICE Processing Center (NWPIC)
276,2024SIR0013800,ERO St Paul
276,2024SIR0013800,Kandiyohi County Sheriff's Office (KCSO)
276,2024SIR0013800,Kandiyohi County Jail (KCJ)
277,2024SIR0013853,ERO Houston
277,2024SIR0013853,ICE Health Service Corps (IHSC)
277,2024SIR0013853,Montgomery Processing Center (MPC)
278,2024SIR0013866,ERO Miami
278,2024SIR0013866,ICE Health Service Corps (IHSC)
278,2024SIR0013866,Krome Service Processing Center (KSPC)
279,2024SIR0013845,ERO San Antonio
279,2024SIR0013845,T. Don Hutto Detention Center (TDHDC)
279,2024SIR0013845,ICE Health Service Corps (IHSC)
280,2024SIR0013887,ERO San Francisco
280,2024SIR0013887,Golden State Annex (GSA)
280,2024SIR0013887,ICE Health Service Corps (IHSC)
281,2024SIR0013865,ERO Seattle
281,2024SIR0013865,Northwest ICE Processing Center (NWPIC)
282,2024SIR0013928,ERO Harlingen
282,2024SIR0013928,El Valle Detention Facility (EVDF)
283,2024SIR0013956,ERO Miami
283,2024SIR0013956,Krome Service Processing Center (KSPC)
283,2024SIR0013956,ICE Health Service Corps (IHSC)
284,2024SIR0013945,ERO San Antonio
284,2024SIR0013945,South Texas ICE Processing Center (STIPC)
284,2024SIR0013945,ICE Health Service Corps (IHSC)
285,2024SIR0014012,ERO Miami
285,2024SIR0014012,Krome Service Processing Center (KSPC)
285,2024SIR0014012,ICE Health Service Corps (IHSC)
286,2024SIR0014028,ERO Philadelphia
286,2024SIR0014028,Moshannon Valley Processing Center (MVPC)
286,2024SIR0014028,ICE Office of Professional Responsibility (OPR)
287,2024SIR0013984,ERO San Antonio
287,2024SIR0013984,T. Don Hutto Detention Center (TDHDC)
287,2024SIR0013984,ICE Health Service Corps (IHSC)
288,2024SIR0014041,ERO Miami
288,2024SIR0014041,ICE Health Service Corps (IHSC)
288,2024SIR0014041,Krome Service Processing Center (KSPC)
289,2024SIR0014036,ERO San Antonio
289,2024SIR0014036,ICE Health Service Corps (IHSC)
289,2024SIR0014036,South Texas ICE Processing Center (STIPC)
290,2024SIR0014062,ERO Miami
290,2024SIR0014062,ICE Health Service Corps (IHSC)
290,2024SIR0014062,Krome Service Processing Center (KSPC)
291,2024SIR0014101,ERO Houston
291,2024SIR0014101,ICE Health Service Corps (IHSC)
291,2024SIR0014101,Montgomery Processing Center (MPC)
292,2024SIR0014072,ERO Miami
292,2024SIR0014072,ICE Health Service Corps (IHSC)
292,2024SIR0014072,Krome Service Processing Center (KSPC)
293,2024SIR0014090,ERO Phoenix
293,2024SIR0014090,ICE Health Service Corps (IHSC)
293,2024SIR0014090,Eloy Detention Center (EDC)
294,2024SIR0014173,ERO Miami
294,2024SIR0014173,Krome Service Processing Center (KSPC)
294,2024SIR0014173,Broward Transitional Center (BTC)
295,2024SIR0014165,ERO Miami
295,2024SIR0014165,Baker County Detention Center (BCDC)
296,2024SIR0014137,ERO Seattle
296,2024SIR0014137,Northwest ICE Processing Center (NWPIC)
297,2024SIR0014210,ERO San Antonio
297,2024SIR0014210,South Texas ICE Processing Center (STIPC)
297,2024SIR0014210,ICE Health Service Corps (IHSC)
298,2024SIR0014312,ERO El Paso
298,2024SIR0014312,ERO Albuquerque
298,2024SIR0014312,Cibola County Correctional Center (CCCC)
298,2024SIR0014312,Torrance County Detention Facility (TCDF)
299,2024SIR0014278,ERO San Antonio
299,2024SIR0014278,South Texas ICE Processing Center (STIPC)
299,2024SIR0014278,ICE Health Service Corps (IHSC)
300,2024SIR0014356,ERO San Antonio
300,2024SIR0014356,South Texas ICE Processing Center (STIPC)
300,2024SIR0014356,ICE Health Service Corps (IHSC)
301,2024SIR0014322,ERO San Antonio
301,2024SIR0014322,South Texas ICE Processing Center (STIPC)
301,2024SIR0014322,ICE Health Service Corps (IHSC)
302,2024SIR0014387,ERO Harlingen
302,2024SIR0014387,El Valle Detention Facility (EVDF)
303,2024SIR0014386,ERO Philadelphia
303,2024SIR0014386,Moshannon Valley Processing Center (MVPC)
304,2024SIR0014460,ERO Atlanta
304,2024SIR0014460,Stewart Detention Center (SDC)
305,2024SIR0014448,ERO Harlingen
305,2024SIR0014448,El Valle Detention Facility (EVDF)
306,2024SIR0014450,ERO Philadelphia
306,2024SIR0014450,Moshannon Valley Processing Center (MVPC)
307,2024SIR0014466,ERO Seattle
307,2024SIR0014466,Northwest ICE Processing Center (NWPIC)
307,2024SIR0014466,ICE Health Service Corps (IHSC)
308,2024SIR0014519,ERO El Paso
308,2024SIR0014519,El Paso Processing Center (EPC)
308,2024SIR0014519,ICE Health Service Corps (IHSC)
309,2024SIR0014510,ERO Harlingen
309,2024SIR0014510,El Valle Detention Facility (EVDF)
310,2024SIR0014488,ERO Seattle
310,2024SIR0014488,ERO Tacoma
310,2024SIR0014488,ICE Health Service Corps (IHSC)
310,2024SIR0014488,Northwest ICE Processing Center (NWPIC)
311,2024SIR0014584,ERO Philadelphia
311,2024SIR0014584,Moshannon Valley Processing Center (MVPC)
311,2024SIR0014584,ICE Office of Professional Responsibility (OPR)
312,2024SIR0014586,ERO Philadelphia
312,2024SIR0014586,Moshannon Valley Processing Center (MVPC)
312,2024SIR0014586,ICE Office of Professional Responsibility (OPR)
313,2024SIR0014645,ERO Seattle
313,2024SIR0014645,ICE Health Service Corps (IHSC)
313,2024SIR0014645,Northwest ICE Processing Center (NWPIC)
314,2024SIR0014664,ERO Philadelphia
314,2024SIR0014664,Moshannon Valley Processing Center (MVPC)
314,2024SIR0014664,ICE Office of Professional Responsibility (OPR)
315,2024SIR0014727,ERO Philadelphia
315,2024SIR0014727,Moshannon Valley Processing Center (MVPC)
316,2024SIR0014744,ERO Seattle
316,2024SIR0014744,Northwest ICE Processing Center (NWPIC)
316,2024SIR0014744,ICE Health Service Corps (IHSC)
317,2024SIR0014776,ERO Miami
317,2024SIR0014776,ICE Health Service Corps (IHSC)
317,2024SIR0014776,Krome Service Processing Center (KSPC)
317,2024SIR0014776,Broward Transitional Center (BTC)
318,2024SIR0014792,ERO San Antonio
318,2024SIR0014792,ICE Health Service Corps (IHSC)
318,2024SIR0014792,South Texas ICE Processing Center (STIPC)
319,2024SIR0014877,ERO San Antonio
319,2024SIR0014877,ICE Health Service Corps (IHSC)
319,2024SIR0014877,South Texas ICE Processing Center (STIPC)
320,2024SIR0014874,ERO San Diego
320,2024SIR0014874,Otay Mesa Detention Center (OMDC)
321,2024SIR0014888,ERO Miami
321,2024SIR0014888,Krome Service Processing Center (KSPC)
321,2024SIR0014888,ICE Health Service Corps (IHSC)
322,2024SIR0014893,ERO Philadelphia
322,2024SIR0014893,Moshannon Valley Processing Center (MVPC)
322,2024SIR0014893,ICE Office of Professional Responsibility (OPR)
323,2024SIR0014914,ERO Washington D.C.
323,2024SIR0014914,Farmville Detention Center (FDC)
323,2024SIR0014914,ICE Office of Professional Responsibility (OPR)
324,2024SIR0015028/2024SIR005032,ERO Boston
324,2024SIR0015028/2024SIR005032,Plymouth County Correctional Facility (PCCF)
325,2024SIR0015053,ERO Miami
325,2024SIR0015053,ICE Health Service Corps (IHSC)
325,2024SIR0015053,Krome Service Processing Center (KSPC)
326,2024SIR0015092,ERO El Paso
326,2024SIR0015092,ICE Health Service Corps (IHSC)
326,2024SIR0015092,El Paso Processing Center (EPC)
327,2024SIR0015091,ERO Harlingen
327,2024SIR0015091,Valley Baptist Medical Center (VBMC)
328,2024SIR0015096,ERO Miami
328,2024SIR0015096,ICE Health Service Corps (IHSC)
328,2024SIR0015096,Krome Service Processing Center (KSPC)
329,2024SIR0015104,ERO Miami
329,2024SIR0015104,Krome Service Processing Center (KSPC)
329,2024SIR0015104,ICE Health Service Corps (IHSC)
330,2024SIR0015159,ERO El Paso
330,2024SIR0015159,ICE Office of Professional Responsibility (OPR)
330,2024SIR0015159,ICE Health Service Corps (IHSC)
330,2024SIR0015159,El Paso Processing Center (EPC)
331,2024SIR0015155,ERO El Paso
331,2024SIR0015155,ICE Office of Professional Responsibility (OPR)
331,2024SIR0015155,ICE Health Service Corps (IHSC)
331,2024SIR0015155,El Paso Processing Center (EPC)
332,2024SIR0015148,ERO Harlingen
332,2024SIR0015148,Valley Baptist Medical Center (VBMC)
333,2024SIR0015216,ERO Harlingen
333,2024SIR0015216,Valley Baptist Medical Center (VBMC)
334,2024SIR0015213,ERO San Antonio
334,2024SIR0015213,ICE Health Service Corps (IHSC)
334,2024SIR0015213,South Texas ICE Processing Center (STIPC)
335,2024SIR0015250,ERO Atlanta
335,2024SIR0015250,Stewart Detention Center (SDC)
336,2024SIR0015270,ERO Philadelphia
336,2024SIR0015270,Moshannon Valley Processing Center (MVPC)
336,2024SIR0015270,ICE Office of Professional Responsibility (OPR)
337,2024SIR0015387,ERO Dallas
337,2024SIR0015387,Prairieland Detention Center (PDC)
338,2024SIR0015379,ERO Philadelphia
338,2024SIR0015379,Pike County Correctional Facility (PCCF)
339,2024SIR0015413,ERO Buffalo
339,2024SIR0015413,ICE Health Service Corps (IHSC)
339,2024SIR0015413,Buffalo Federal Detention Facility (BFDF)
340,2024SIR0015400,ERO San Diego
340,2024SIR0015400,Otay Mesa Detention Center (OMDC)
341,2024SIR0015399,ERO San Francisco
341,2024SIR0015399,ICE Health Service Corps (IHSC)
341,2024SIR0015399,Golden State Annex (GSA)
342,2024SIR0015432,ERO Philadelphia
342,2024SIR0015432,Moshannon Valley Processing Center (MVPC)
343,2024SIR0015463,ERO Philadelphia
343,2024SIR0015463,Moshannon Valley Processing Center (MVPC)
343,2024SIR0015463,ICE Office of Professional Responsibility (OPR)
344,2024SIR0017195,ERO New Orleans
344,2024SIR0017195,River Correctional Center (RCC)
345,2024SIR0017268,ERO Miami
345,2024SIR0017268,Krome Service Processing Center (KSPC)
345,2024SIR0017268,ICE Health Service Corps (IHSC)
346,2024SIR0017330,ERO Miami
346,2024SIR0017330,Krome Service Processing Center (KSPC)
346,2024SIR0017330,ICE Health Service Corps (IHSC)
347,2024SIR0017340,ERO San Antonio
347,2024SIR0017340,ICE Health Service Corps (IHSC)
347,2024SIR0017340,T. Don Hutto Detention Center (TDHDC)
348,2024SIR0017374,ERO Harlingen
348,2024SIR0017374,El Valle Detention Facility (EVDF)
349,2024SIR0017379,ERO Miami
349,2024SIR0017379,Collier County Sheriff's Office (CCSO)
349,2024SIR0017379,Collier County Jail (CCJ)
350,2025SIR0000030,ERO Atlanta
350,2025SIR0000030,Folkston ICE Processing Center (FDRIPC)
350,2025SIR0000030,ICE Health Service Corps (IHSC)
351,2025SIR0000129,ERO El Paso
351,2025SIR0000129,ICE Health Service Corps (IHSC)
351,2025SIR0000129,El Paso Processing Center (EPC)
352,2025SIR0000102,ERO Miami
352,2025SIR0000102,Krome Service Processing Center (KSPC)
352,2025SIR0000102,ICE Health Service Corps (IHSC)
353,2025SIR0000053,ERO New Orleans
353,2025SIR0000053,ICE Health Service Corps (IHSC)
353,2025SIR0000053,Central Louisiana ICE Correctional Center (CLIPC)
353,2025SIR0000053,ICE Office of Professional Responsibility (OPR)
354,2025SIR0000094,ERO Philadelphia
354,2025SIR0000094,Pike County Correctional Facility (PCCF)
355,2025SIR0000128,ERO San Diego
355,2025SIR0000128,Otay Mesa Detention Center (OMDC)
356,2025SIR0000164,ERO Atlanta
356,2025SIR0000164,Stewart Detention Center (SDC)
357,2025SIR00000207,ERO Chicago
357,2025SIR00000207,South Texas ICE Processing Center (STIPC)
357,2025SIR00000207,ICE Health Service Corps (IHSC)
358,2025SIR0000140,ERO Miami
358,2025SIR0000140,Baker County Detention Center (BCDC)
359,2024SIR0017269,ERO San Antonio
359,2024SIR0017269,ICE Health Service Corps (IHSC)
359,2024SIR0017269,T. Don Hutto Detention Center (TDHDC)
360,2025SIRO000290,ERO Boston
360,2025SIRO000290,ICE Health Service Corps (IHSC)
360,2025SIRO000290,Krome Service Processing Center (KSPC)
361,2025SIR0000291,ERO Phoenix
361,2025SIR0000291,Central Arizona Florence Correctional Complex (CAFCC)
362,2025SIR0000294,ERO Phoenix
362,2025SIR0000294,Central Arizona Florence Correctional Complex (CAFCC)
363,2025SIR0000336,ERO Philadelphia
363,2025SIR0000336,Moshannon Valley Processing Center (MVPC)
364,2025SIR0000320,ERO Richmond
364,2025SIR0000320,Caroline Detention Facility (CDF)
365,2025SIR0000379,ERO El Paso
365,2025SIR0000379,ICE Health Service Corps (IHSC)
365,2025SIR0000379,El Paso Processing Center (EPC)
366,2025SIR0000365,ERO Philadelphia
366,2025SIR0000365,Moshannon Valley Processing Center (MVPC)
366,2025SIR0000365,ICE Office of Professional Responsibility (OPR)
367,2025SIR0000394,ERO Seattle
367,2025SIR0000394,Northwest ICE Processing Center (NWPIC)
367,2025SIR0000394,ICE Health Service Corps (IHSC)
368,2025SIR0000443,ERO Philadelphia
368,2025SIR0000443,Pike County Correctional Facility (PCCF)
368,2025SIR0000443,ICE Office of Professional Responsibility (OPR)
369,2025SIR0000471,ERO Dallas
369,2025SIR0000471,Prairieland Detention Center (PDC)
370,2025SIRO000496,ERO Philadelphia
370,2025SIRO000496,Moshannon Valley Processing Center (MVPC)
370,2025SIRO000496,ICE Office of Professional Responsibility (OPR)
371,2025SIR0000575,ERO Philadelphia
371,2025SIR0000575,Moshannon Valley Processing Center (MVPC)
371,2025SIR0000575,ICE Office of Professional Responsibility (OPR)
372,2025SIR0000654,ERO Philadelphia
372,2025SIR0000654,Moshannon Valley Processing Center (MVPC)
373,2025SIR0000648,ERO Phoenix
373,2025SIR0000648,Central Arizona Florence Correctional Complex (CAFCC)
374,2025SIR0000676,ERO Miami
374,2025SIR0000676,Krome Service Processing Center (KSPC)
374,2025SIR0000676,ICE Health Service Corps (IHSC)
375,2025SIR0000672,ERO New Orleans
375,2025SIR0000672,ICE Health Service Corps (IHSC)
375,2025SIR0000672,Central Louisiana ICE Correctional Center (CLIPC)
376,2025SIR0000667,ERO Philadelphia
376,2025SIR0000667,Moshannon Valley Processing Center (MVPC)
376,2025SIR0000667,ICE Office of Professional Responsibility (OPR)
377,2025SIR0000674,ERO Miami
377,2025SIR0000674,Baker County Detention Center (BCDC)
378,2025SIR0000778,ERO Detroit
378,2025SIR0000778,ICE Health Service Corps (IHSC)
378,2025SIR0000778,Monroe County Jail (MCJ)
379,2025SIR0000765,ERO El Paso
379,2025SIR0000765,ICE Health Service Corps (IHSC)
379,2025SIR0000765,El Paso Processing Center (EPC)
380,2025SIR0000732,ERO Miami
380,2025SIR0000732,Baker County Detention Center (BCDC)
381,2025SIR0000727,ERO San Antonio
381,2025SIR0000727,ICE Health Service Corps (IHSC)
381,2025SIR0000727,T. Don Hutto Detention Center (TDHDC)
382,2025SIR0000779,ERO San Antonio
382,2025SIR0000779,ICE Health Service Corps (IHSC)
382,2025SIR0000779,South Texas ICE Processing Center (STIPC)
383,2025SIR0000790,ERO Dallas
383,2025SIR0000790,Bluebonnet Detention Center (BBDC)
384,2025SIR0000820,ERO El Paso
384,2025SIR0000820,Otero County Processing Center (OCPC)
385,2025SIR0000802,ERO Miami
385,2025SIR0000802,Krome Service Processing Center (KSPC)
385,2025SIR0000802,ICE Health Service Corps (IHSC)
386,2025SIR0000824,ERO San Antonio
386,2025SIR0000824,ICE Health Service Corps (IHSC)
386,2025SIR0000824,T. Don Hutto Detention Center (TDHDC)
387,2025SIR0000833,ERO San Antonio
387,2025SIR0000833,T. Don Hutto Detention Center (TDHDC)
387,2025SIR0000833,ICE Health Service Corps (IHSC)
388,2025SIR0000878,ERO El Paso
388,2025SIR0000878,ICE Health Service Corps (IHSC)
388,2025SIR0000878,El Paso Processing Center (EPC)
388,2025SIR0000878,Facility Cleaning Crew (FCC)
389,2025SIR0000887,ERO Miami
389,2025SIR0000887,Krome Service Processing Center (KSPC)
389,2025SIR0000887,ICE Health Service Corps (IHSC)
390,2025SIR0000829,ERO Philadelphia
390,2025SIR0000829,Moshannon Valley Processing Center (MVPC)
391,2025SIR0000936,ERO Los Angeles
391,2025SIR0000936,Desert View Facility (DVF)
392,2025SIR0000952,ERO Philadelphia
392,2025SIR0000952,Pike County Correctional Facility (PCCF)
393,2025SIR0000943,ERO Dallas
393,2025SIR0000943,Bluebonnet Detention Center (BBDC)
394,2025SIR0000998,ERO Philadelphia
394,2025SIR0000998,Moshannon Valley Processing Center (MVPC)
395,2025SIR0001129,ERO Boston
395,2025SIR0001129,ERO New Orleans
395,2025SIR0001129,Pine Prairie ICE Processing Center (PPC)
396,2025SIR0001095,ERO Harlingen
396,2025SIR0001095,El Valle Detention Facility (EVDF)
397,2025SIR0001220,ERO Atlanta
397,2025SIR0001220,Stewart Detention Center (SDC)
398,2025SIR0001222,ERO Atlanta
398,2025SIR0001222,Stewart Detention Center (SDC)
399,2025SIR0001258,ERO Miami
399,2025SIR0001258,ICE Health Service Corps (IHSC)
399,2025SIR0001258,Krome Service Processing Center (KSPC)
400,2025SIR0001238,ERO New Orleans
400,2025SIR0001238,Central Louisiana ICE Correctional Center (CLIPC)
401,2025SIR0001237,ERO San Antonio
401,2025SIR0001237,ICE Health Service Corps (IHSC)
401,2025SIR0001237,South Texas ICE Processing Center (STIPC)
402,2025SIR0001260,ERO Seattle
402,2025SIR0001260,ICE Health Service Corps (IHSC)
402,2025SIR0001260,Northwest ICE Processing Center (NWPIC)
403,2025SIR0001275,ERO San Antonio
403,2025SIR0001275,T. Don Hutto Detention Center (TDHDC)
403,2025SIR0001275,ICE Health Service Corps (IHSC)
404,2025SIR0001276,ERO San Antonio
404,2025SIR0001276,T. Don Hutto Detention Center (TDHDC)
404,2025SIR0001276,ICE Health Service Corps (IHSC)
405,2025SIR0001297,ERO Boston
405,2025SIR0001297,ERO Miami
405,2025SIR0001297,ICE Health Service Corps (IHSC)
405,2025SIR0001297,Krome Service Processing Center (KSPC)
406,2025SIR0001326,ERO San Antonio
406,2025SIR0001326,T. Don Hutto Detention Center (TDHDC)
406,2025SIR0001326,ICE Health Service Corps (IHSC)
407,2025SIR0001560,ERO Phoenix
407,2025SIR0001560,ICE Health Service Corps (IHSC)
407,2025SIR0001560,Eloy Detention Center (EDC)
408,2025SIR0001631,ERO Philadelphia
408,2025SIR0001631,Clinton County Correctional Facility (CCCF)
408,2025SIR0001631,University of Pittsburgh Medical Center (UPMC)
409,2025SIR0001639,ERO New Orleans
409,2025SIR0001639,Winn Correctional Center (WCC)
410,2025SIR0001647,ERO New Orleans
410,2025SIR0001647,ICE Health Service Corps (IHSC)
410,2025SIR0001647,River Correctional Center (RCC)
411,2025SIR0001682,ERO Harlingen
411,2025SIR0001682,Port Isabel Detention Center (PIDC)
412,2025SIR0001677,ERO Miami
412,2025SIR0001677,ICE Health Service Corps (IHSC)
412,2025SIR0001677,Krome Service Processing Center (KSPC)
413,2025SIR0001665,ERO San Antonio
413,2025SIR0001665,ICE Health Service Corps (IHSC)
413,2025SIR0001665,T. Don Hutto Detention Center (TDHDC)
414,2025SIR0001733,ERO El Paso
414,2025SIR0001733,ICE Health Service Corps (IHSC)
414,2025SIR0001733,El Paso Processing Center (EPC)
415,2025SIR0001738,ERO Houston
415,2025SIR0001738,ICE Health Service Corps (IHSC)
415,2025SIR0001738,Joe Corley Processing Center (JCPC)
416,2025SIR0001729,ERO Miami
